"Day of year","Hour","week_or_not","road_num","functional_road_class_desc","time_rate","rain","temperature","atmospheric_pressure","humidity","wind_speed","clouds","current_luminosity","atmosphere"
18,5,1,2,3,0.9999996323530764,0,4,1021,93,1,0,0,"0"
18,5,1,3,1,0.9999750006249843,0,4,1021,93,1,0,0,"0"
18,5,1,4,2,0.9999979166710068,0,4,1021,93,1,0,0,"0"
18,6,1,1,3,0.9999961538609465,0,4,1021,86,0,0,0,"0"
18,6,1,2,3,0.9999996323530764,0,4,1021,86,0,0,0,"0"
18,6,1,3,1,0.9999750006249843,0,4,1021,86,0,0,0,"0"
18,6,1,4,2,0.9999979166710068,0,4,1021,86,0,0,0,"0"
18,7,1,1,3,0.9999961538609465,,,,,,,,
18,7,1,2,3,0.9999996323530764,,,,,,,,
18,7,1,3,1,0.9999750006249843,,,,,,,,
18,7,1,4,2,0.9040386554977756,,,,,,,,
18,8,1,1,3,0.9999961538609465,0,4,1021,86,4,0,1,"0"
18,8,1,2,3,0.9213479979690238,0,4,1021,86,4,0,1,"0"
18,8,1,3,1,0.9999750006249843,0,4,1021,86,4,0,1,"0"
18,8,1,4,2,0.7992771186487229,0,4,1021,86,4,0,1,"0"
18,9,1,1,3,0.7791138137722513,0,4,1021,86,3,20,2,"0"
18,9,1,2,3,0.6721821909440706,0,4,1021,86,3,20,2,"0"
18,9,1,3,1,0.9333113338566541,0,4,1021,86,3,20,2,"0"
18,9,1,4,2,0.6963009798396267,0,4,1021,86,3,20,2,"0"
18,10,1,1,3,0.9999962963100135,0,5,1022,86,4,75,2,"0"
18,10,1,2,3,0.8229024638113465,0,5,1022,86,4,75,2,"0"
18,10,1,3,1,0.9999750006249843,0,5,1022,86,4,75,2,"0"
18,10,1,4,2,0.666428843413734,0,5,1022,86,4,75,2,"0"
18,11,1,1,3,0.9999928571938772,0,6,1022,81,4,40,2,"0"
18,11,1,2,3,0.7399028804653713,0,6,1022,81,4,40,2,"0"
18,11,1,3,1,0.6696135806351445,0,6,1022,81,4,40,2,"0"
18,11,1,4,2,0.6036151046507743,0,6,1022,81,4,40,2,"0"
18,12,1,1,3,0.9999928571938772,1,6,1022,87,3,90,2,"0"
18,12,1,2,3,0.502183207477692,1,6,1022,87,3,90,2,"0"
18,12,1,3,1,0.512499251382957,1,6,1022,87,3,90,2,"0"
18,12,1,4,2,0.5681174684693531,1,6,1022,87,3,90,2,"0"
18,13,1,1,3,0.9999928571938772,1,7,1021,87,3,75,2,"0"
18,13,1,2,3,0.5823752557949212,1,7,1021,87,3,75,2,"0"
18,13,1,3,1,0.7025164691404806,1,7,1021,87,3,75,2,"0"
18,13,1,4,2,0.5838040162052014,1,7,1021,87,3,75,2,"0"
18,14,1,1,3,0.9999928571938772,0,7,1020,93,4,75,2,"0"
18,14,1,2,3,0.5264563233370563,0,7,1020,93,4,75,2,"0"
18,14,1,3,1,0.797675934275479,0,7,1020,93,4,75,2,"0"
18,14,1,4,2,0.41010014972233433,0,7,1020,93,4,75,2,"0"
18,15,1,1,3,0.9999928571938772,1,8,1020,93,4,90,2,"0"
18,15,1,2,3,0.6098346173969549,1,8,1020,93,4,90,2,"0"
18,15,1,3,1,0.7935524753889477,1,8,1020,93,4,90,2,"0"
18,15,1,4,2,0.5186979748656725,1,8,1020,93,4,90,2,"0"
18,16,1,1,3,0.9999928571938772,1,8,1019,93,3,90,2,"0"
18,16,1,2,3,0.8879179509590855,1,8,1019,93,3,90,2,"0"
18,16,1,3,1,0.6590710857706377,1,8,1019,93,3,90,2,"0"
18,16,1,4,2,0.5094279582401167,1,8,1019,93,3,90,2,"0"
18,17,1,1,3,0.9999928571938772,0,8,1019,93,4,90,1,"0"
18,17,1,2,3,0.6269703684962062,0,8,1019,93,4,90,1,"0"
18,17,1,3,1,0.668006952083138,0,8,1019,93,4,90,1,"0"
18,17,1,4,2,0.4775594707467798,0,8,1019,93,4,90,1,"0"
18,18,1,1,3,0.925919723733961,0,8,1018,93,3,40,0,"0"
18,18,1,2,3,0.28955140784893196,0,8,1018,93,3,40,0,"0"
18,18,1,3,1,0.5389493024962194,0,8,1018,93,3,40,0,"0"
18,18,1,4,2,0.3170507176935732,0,8,1018,93,3,40,0,"0"
18,19,1,1,3,0.9999928571938772,0,8,1018,93,2,75,0,"0"
18,19,1,2,3,0.4466300979227445,0,8,1018,93,2,75,0,"0"
18,19,1,3,1,0.7085855453269563,0,8,1018,93,2,75,0,"0"
18,19,1,4,2,0.6434514967061514,0,8,1018,93,2,75,0,"0"
18,20,1,1,3,0.9999928571938772,0,8,1018,93,3,75,0,"0"
18,20,1,2,3,0.8095938050428146,0,8,1018,93,3,75,0,"0"
18,20,1,3,1,0.9999972973046016,0,8,1018,93,3,75,0,"0"
18,20,1,4,2,0.659436824306586,0,8,1018,93,3,75,0,"0"
18,21,1,1,3,0.9999928571938772,,,,,,,,
18,21,1,2,3,0.8879179509590855,,,,,,,,
18,21,1,3,1,0.9999972973046016,,,,,,,,
18,21,1,4,2,0.9999978723449523,,,,,,,,
18,22,1,1,3,0.9999928571938772,0,8,1019,93,1,75,0,"0"
18,22,1,2,3,0.9999993421056959,0,8,1019,93,1,75,0,"0"
18,22,1,3,1,0.9999973447201855,0,8,1019,93,1,75,0,"0"
18,22,1,4,2,0.9999978723449523,0,8,1019,93,1,75,0,"0"
18,23,1,1,3,0.9999928571938772,0,7,1019,93,1,75,0,"0"
18,23,1,2,3,0.9999993421056959,0,7,1019,93,1,75,0,"0"
18,23,1,3,1,0.9999973684279777,0,7,1019,93,1,75,0,"0"
18,23,1,4,2,0.9999978723449523,0,7,1019,93,1,75,0,"0"
19,0,0,1,3,0.9999928571938772,0,8,1020,93,1,75,0,"0"
19,0,0,2,3,0.9216751773924582,0,8,1020,93,1,75,0,"0"
19,0,0,3,1,0.9999973684279777,0,8,1020,93,1,75,0,"0"
19,0,0,4,2,0.9999978723449523,0,8,1020,93,1,75,0,"0"
19,1,0,1,3,0.9999928571938772,,,,,,,,
19,1,0,2,3,0.9999992857147958,,,,,,,,
19,1,0,3,1,0.9999973684279777,,,,,,,,
19,1,0,4,2,0.9999978723449523,,,,,,,,
19,2,0,1,3,0.9999928571938772,0,7,1018,93,3,20,0,"0"
19,2,0,2,3,0.9999992857147958,0,7,1018,93,3,20,0,"0"
19,2,0,3,1,0.9999973684279777,0,7,1018,93,3,20,0,"0"
19,2,0,4,2,0.9999978723449523,0,7,1018,93,3,20,0,"0"
19,3,0,1,3,0.9999928571938772,0,7,1018,93,2,92,0,"0"
19,3,0,2,3,0.9999992857147958,0,7,1018,93,2,92,0,"0"
19,3,0,3,1,0.9999973684279777,0,7,1018,93,2,92,0,"0"
19,3,0,4,2,0.9999978723449523,0,7,1018,93,2,92,0,"0"
19,4,0,1,3,0.9999928571938772,0,8,1017,87,4,92,0,"0"
19,4,0,2,3,0.9999992857147958,0,8,1017,87,4,92,0,"0"
19,4,0,3,1,0.9999973684279777,0,8,1017,87,4,92,0,"0"
19,4,0,4,2,0.9999978723449523,0,8,1017,87,4,92,0,"0"
19,5,0,1,3,0.9999928571938772,0,7,1017,93,4,40,0,"0"
19,5,0,2,3,0.9999992857147958,0,7,1017,93,4,40,0,"0"
19,5,0,3,1,0.9999973684279777,0,7,1017,93,4,40,0,"0"
19,5,0,4,2,0.9999978723449523,0,7,1017,93,4,40,0,"0"
19,6,0,1,3,0.9999928571938772,0,8,1016,93,3,40,0,"0"
19,6,0,2,3,0.9999992857147958,0,8,1016,93,3,40,0,"0"
19,6,0,3,1,0.9999973684279777,0,8,1016,93,3,40,0,"0"
19,6,0,4,2,0.9999978723449523,0,8,1016,93,3,40,0,"0"
19,7,0,1,3,0.9999928571938772,0,8,1016,100,4,75,0,"0"
19,7,0,2,3,0.9999992857147958,0,8,1016,100,4,75,0,"0"
19,7,0,3,1,0.9999973684279777,0,8,1016,100,4,75,0,"0"
19,7,0,4,2,0.5718885094138844,0,8,1016,100,4,75,0,"0"
19,8,0,1,3,0.9999928571938772,1,9,1015,93,6,75,1,"0"
19,8,0,2,3,0.9216751585954914,1,9,1015,93,6,75,1,"0"
19,8,0,3,1,0.9999973684279777,1,9,1015,93,6,75,1,"0"
19,8,0,4,2,0.9999978723449523,1,9,1015,93,6,75,1,"0"
19,9,0,1,3,0.9999928571938772,2,9,1015,100,6,75,2,"0"
19,9,0,2,3,0.7931029836931641,2,9,1015,100,6,75,2,"0"
19,9,0,3,1,0.9999973684279777,2,9,1015,100,6,75,2,"0"
19,9,0,4,2,0.927775938931971,2,9,1015,100,6,75,2,"0"
19,10,0,1,3,0.9999928571938772,1,9,1014,100,6,90,2,"0"
19,10,0,2,3,0.6113534448238233,1,9,1014,100,6,90,2,"0"
19,10,0,3,1,0.8653361307258919,1,9,1014,100,6,90,2,"0"
19,10,0,4,2,0.8904744818627606,1,9,1014,100,6,90,2,"0"
19,11,0,1,3,0.9999928571938772,1,10,1014,100,7,90,2,"0"
19,11,0,2,3,0.3713448500562055,1,10,1014,100,7,90,2,"0"
19,11,0,3,1,0.768447824156976,1,10,1014,100,7,90,2,"0"
19,11,0,4,2,0.7088384681898205,1,10,1014,100,7,90,2,"0"
19,12,0,1,3,0.9999928571938772,1,12,1013,100,4,90,2,"0"
19,12,0,2,3,0.32314403424802746,1,12,1013,100,4,90,2,"0"
19,12,0,3,1,0.930553251406834,1,12,1013,100,4,90,2,"0"
19,12,0,4,2,0.8333318428662048,1,12,1013,100,4,90,2,"0"
19,13,0,1,3,0.9999928571938772,1,13,1011,100,3,90,2,"0"
19,13,0,2,3,0.45020188821523494,1,13,1011,100,3,90,2,"0"
19,13,0,3,1,0.8645812459998846,1,13,1011,100,3,90,2,"0"
19,13,0,4,2,0.8525074147135999,1,13,1011,100,3,90,2,"0"
19,14,0,1,3,0.9999928571938772,0,13,1010,100,5,75,2,"0"
19,14,0,2,3,0.7770475673185794,0,13,1010,100,5,75,2,"0"
19,14,0,3,1,0.9999972973046016,0,13,1010,100,5,75,2,"0"
