"Day of year","Hour","length_in_meters","AvenidaCentral","AvenidaLiberdade","RuaDeCaires","Bosch","week_or_not"
308,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
308,14,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
308,15,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
308,16,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
308,17,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
308,18,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
308,19,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
308,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
308,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
308,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
308,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,8,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
309,9,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
309,10,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,12,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,14,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,15,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,16,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,17,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
309,18,535.8000000000001,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447565,1
309,19,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
309,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
309,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,8,485.3333333333333,5171.646840986081,4909.2873640586295,4430.386613137462,3741.335873792973,1
310,9,505.75,5556.339536327291,5165.647760360126,4993.317563155454,4294.873191505863,1
310,10,565.25,5510.266182988629,5114.568105157589,4948.689913667702,4247.759055719525,1
310,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,12,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,14,530.8000000000001,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
310,15,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
310,16,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,17,530.8000000000001,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
310,18,530.8000000000001,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
310,19,581.75,5500.242924363809,5102.480243734822,4939.259480978945,4237.396767289296,1
310,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
310,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,8,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
311,9,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
311,10,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,12,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,14,535.8000000000001,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447565,1
311,15,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
311,16,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
311,17,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
311,18,535.8000000000001,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447565,1
